"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Oct 14 00:01:28 BDT 2024","Mon Oct 14 00:03:00 BDT 2024","92348","","CuisinartTest","","CuisinartTest","orderConfirmationPage","Test order confirmation on the  site",""
"passed","Sun Oct 13 23:59:21 BDT 2024","Mon Oct 14 00:01:28 BDT 2024","126375","","CuisinartTest","","CuisinartTest","testCategoryLandingPage","Test Category Landing Page Navigation",""
"broken","Mon Oct 14 00:03:16 BDT 2024","Mon Oct 14 00:03:42 BDT 2024","25783","","CuisinartTest","","CuisinartTest","myAccountPage","Test My Account Page Functionality",""
"passed","Mon Oct 14 00:04:29 BDT 2024","Mon Oct 14 00:07:22 BDT 2024","173038","","CuisinartTest","","CuisinartTest","testHomePage","Verify Navigation and Functionality on Cuisinart Home Page",""
"passed","Mon Oct 14 00:09:49 BDT 2024","Mon Oct 14 00:11:16 BDT 2024","86860","","CuisinartTest","","CuisinartTest","testCartPage","Test Cart Page Functionality",""
"broken","Mon Oct 14 00:11:16 BDT 2024","Mon Oct 14 00:12:05 BDT 2024","49083","","CuisinartTest","","CuisinartTest","testPaymentPage","Test payment process on the  site",""
"broken","Mon Oct 14 00:03:42 BDT 2024","Mon Oct 14 00:04:29 BDT 2024","46386","","CuisinartTest","","CuisinartTest","testInformationShippingPage","Test Shipping Information Submission Flow",""
"passed","Mon Oct 14 00:03:00 BDT 2024","Mon Oct 14 00:03:16 BDT 2024","16050","","CuisinartTest","","CuisinartTest","testBasicAuth","Verify Basic Authentication for Cuisinart Stage Environment",""
"passed","Mon Oct 14 00:08:14 BDT 2024","Mon Oct 14 00:08:59 BDT 2024","44470","","CuisinartTest","","CuisinartTest","testFooterLinks","Test Footer Links Functionality",""
"passed","Mon Oct 14 00:07:22 BDT 2024","Mon Oct 14 00:08:14 BDT 2024","52802","","CuisinartTest","","CuisinartTest","testProductDetailPage","Test Product Detail Page Functionality",""
"broken","Mon Oct 14 00:08:59 BDT 2024","Mon Oct 14 00:09:49 BDT 2024","49773","","CuisinartTest","","CuisinartTest","testShippingPage","Test Shipping Page Functionality: Add Item to Cart and Complete Checkout",""
